country,mo
US,GS1 US
CA,GS1 Canada
GB,GS1 UK
DE,GS1 Germany
FR,GS1 France
CH,GS1 Switzerland
IT,GS1 Italy
ES,GS1 Spain
NL,GS1 Netherlands
JP,GS1 Japan
CN,GS1 China
IN,GS1 India
AU,GS1 Australia
BR,GS1 Brazil
MX,GS1 Mexico
KR,GS1 South Korea
SG,GS1 Singapore
IE,GS1 Ireland
SE,GS1 Sweden
BE,GS1 Belgium & Luxembourg
