iri,label,domain,obo_id
http://purl.allotrope.org/ontologies/result#AFR_0002305,impedance scan slope,result,AFO_result#AFR:0002305
http://purl.allotrope.org/ontologies/result#AFR_0002306,impedance scan characteristic frequency,result,AFO_result#AFR:0002306
http://purl.allotrope.org/ontologies/result#AFR_0002307,impedance scan result,result,AFO_result#AFR:0002307
http://purl.allotrope.org/ontologies/result#AFR_0002308,Molfile molecular structure,result,AFO_result#AFR:0002308
http://purl.allotrope.org/ontologies/result#AFR_0002309,normalized reporter data cube,result,AFO_result#AFR:0002309
http://purl.allotrope.org/ontologies/result#AFR_0002310,baseline corrected reporter data cube,result,AFO_result#AFR:0002310
http://purl.allotrope.org/ontologies/result#AFR_0002311,cycle count,result,AFO_result#AFR:0002311
http://purl.allotrope.org/ontologies/result#AFR_0002312,heat flow profile,result,AFO_result#AFR:0002312
http://purl.allotrope.org/ontologies/result#AFR_0002313,total system heat flow profile,result,AFO_result#AFR:0002313
http://purl.allotrope.org/ontologies/result#AFR_0002314,reaction heat flow profile,result,AFO_result#AFR:0002314
http://purl.allotrope.org/ontologies/result#AFR_0002315,source current setting,result,AFO_result#AFR:0002315
http://purl.allotrope.org/ontologies/result#AFR_0002316,current setting,result,AFO_result#AFR:0002316
http://purl.allotrope.org/ontologies/result#AFR_0002317,electron energy setting,result,AFO_result#AFR:0002317
http://purl.allotrope.org/ontologies/result#AFR_0002318,voltage setting,result,AFO_result#AFR:0002318
http://purl.allotrope.org/ontologies/result#AFR_0002319,analyte aggregate document,result,AFO_result#AFR:0002319
http://purl.allotrope.org/ontologies/result#AFR_0002320,analyte document,result,AFO_result#AFR:0002320
http://purl.allotrope.org/ontologies/result#AFR_0002324,radiation source type,result,AFO_result#AFR:0002324
http://purl.allotrope.org/ontologies/result#AFR_0002326,near infrared document,result,AFO_result#AFR:0002326
http://purl.allotrope.org/ontologies/result#AFR_0002327,three-dimensional FTIR spectrum,result,AFO_result#AFR:0002327
http://purl.allotrope.org/ontologies/result#AFR_0002328,three-dimensional Raman spectrum,result,AFO_result#AFR:0002328
http://purl.allotrope.org/ontologies/result#AFR_0002329,three-dimensional near infrared spectrum,result,AFO_result#AFR:0002329
http://purl.allotrope.org/ontologies/result#AFR_0002330,near infrared spectrum,result,AFO_result#AFR:0002330
http://purl.allotrope.org/ontologies/result#AFR_0002331,electronic project record,result,AFO_result#AFR:0002331
http://purl.allotrope.org/ontologies/result#AFR_0002332,report method,result,AFO_result#AFR:0002332
http://purl.allotrope.org/ontologies/result#AFR_0002334,total cell diameter,result,AFO_result#AFR:0002334
http://purl.allotrope.org/ontologies/result#AFR_0002335,average total cell diameter,result,AFO_result#AFR:0002335
http://purl.allotrope.org/ontologies/result#AFR_0002336,total cell diameter distribution,result,AFO_result#AFR:0002336
http://purl.allotrope.org/ontologies/result#AFR_0002337,pH profile,result,AFO_result#AFR:0002337
http://purl.allotrope.org/ontologies/result#AFR_0002338,standard aggregate document,result,AFO_result#AFR:0002338
http://purl.allotrope.org/ontologies/result#AFR_0002339,pH calibration slope,result,AFO_result#AFR:0002339
http://purl.allotrope.org/ontologies/result#AFR_0002340,pH data cube,result,AFO_result#AFR:0002340
http://purl.allotrope.org/ontologies/result#AFR_0002341,reaction temperature data cube,result,AFO_result#AFR:0002341
http://purl.allotrope.org/ontologies/result#AFR_0002342,jacket temperature data cube,result,AFO_result#AFR:0002342
http://purl.allotrope.org/ontologies/result#AFR_0002343,stirring rate data cube,result,AFO_result#AFR:0002343
http://purl.allotrope.org/ontologies/result#AFR_0002344,mass profile,result,AFO_result#AFR:0002344
http://purl.allotrope.org/ontologies/result#AFR_0002345,purge gas flow rate profile,result,AFO_result#AFR:0002345
http://purl.allotrope.org/ontologies/result#AFR_0002346,purge gas type,result,AFO_result#AFR:0002346
http://purl.allotrope.org/ontologies/result#AFR_0002347,purge gas flow rate data cube,result,AFO_result#AFR:0002347
http://purl.allotrope.org/ontologies/result#AFR_0002350,chord length distribution profile,result,AFO_result#AFR:0002350
http://purl.allotrope.org/ontologies/result#AFR_0002351,chord length distribution data cube,result,AFO_result#AFR:0002351
http://purl.allotrope.org/ontologies/result#AFR_0002352,measured chord length result,result,AFO_result#AFR:0002352
http://purl.allotrope.org/ontologies/result#AFR_0002353,laser rotation speed setting,result,AFO_result#AFR:0002353
http://purl.allotrope.org/ontologies/result#AFR_0002354,chord selection setting,result,AFO_result#AFR:0002354
http://purl.allotrope.org/ontologies/result#AFR_0002355,stuck particle correction enabled setting,result,AFO_result#AFR:0002355
http://purl.allotrope.org/ontologies/result#AFR_0002356,laser rotation speed data cube,result,AFO_result#AFR:0002356
http://purl.allotrope.org/ontologies/result#AFR_0002357,FTIR profile,result,AFO_result#AFR:0002357
http://purl.allotrope.org/ontologies/result#AFR_0002358,background document,result,AFO_result#AFR:0002358
http://purl.allotrope.org/ontologies/result#AFR_0002359,Raman profile,result,AFO_result#AFR:0002359
http://purl.allotrope.org/ontologies/result#AFR_0002360,near infrared profile,result,AFO_result#AFR:0002360
http://purl.allotrope.org/ontologies/result#AFR_0002362,ultraviolet-visible spectroscopy profile,result,AFO_result#AFR:0002362
http://purl.allotrope.org/ontologies/result#AFR_0002363,ultraviolet-visible spectroscopy document,result,AFO_result#AFR:0002363
http://purl.allotrope.org/ontologies/result#AFR_0002364,spectrometer type,result,AFO_result#AFR:0002364
http://purl.allotrope.org/ontologies/result#AFR_0002365,concentration profile,result,AFO_result#AFR:0002365
http://purl.allotrope.org/ontologies/result#AFR_0002366,chemical shift,result,AFO_result#AFR:0002366
http://purl.allotrope.org/ontologies/result#AFR_0002367,analysis material role type,result,AFO_result#AFR:0002367
http://purl.allotrope.org/ontologies/result#AFR_0002368,analyte molar ratio,result,AFO_result#AFR:0002368
http://purl.allotrope.org/ontologies/result#AFR_0002369,sample preparation aggregate document,result,AFO_result#AFR:0002369
http://purl.allotrope.org/ontologies/result#AFR_0002370,sample preparation document,result,AFO_result#AFR:0002370
http://purl.allotrope.org/ontologies/result#AFR_0002371,purity,result,AFO_result#AFR:0002371
http://purl.allotrope.org/ontologies/result#AFR_0002372,NMR multiplet,result,AFO_result#AFR:0002372
http://purl.allotrope.org/ontologies/result#AFR_0002373,associated nuclei count,result,AFO_result#AFR:0002373
http://purl.allotrope.org/ontologies/result#AFR_0002374,measurement aggregate document,result,AFO_result#AFR:0002374
http://purl.allotrope.org/ontologies/result#AFR_0002375,measurement document,result,AFO_result#AFR:0002375
http://purl.allotrope.org/ontologies/result#AFR_0002376,system flow rate profile,result,AFO_result#AFR:0002376
http://purl.allotrope.org/ontologies/result#AFR_0002389,aperture size setting,result,AFO_result#AFR:0002389
http://purl.allotrope.org/ontologies/result#AFR_0002390,michelson interferometer measurement mode setting,result,AFO_result#AFR:0002390
http://purl.allotrope.org/ontologies/result#AFR_0002391,sample measurement interface type,result,AFO_result#AFR:0002391
http://purl.allotrope.org/ontologies/result#AFR_0002392,thermal conductivity,result,AFO_result#AFR:0002392
http://purl.allotrope.org/ontologies/result#AFR_0002393,temperature rate,result,AFO_result#AFR:0002393
http://purl.allotrope.org/ontologies/result#AFR_0002394,angle of optical rotation,result,AFO_result#AFR:0002394
http://purl.allotrope.org/ontologies/result#AFR_0002395,specific rotation,result,AFO_result#AFR:0002395
http://purl.allotrope.org/ontologies/result#AFR_0002396,specific rotation document,result,AFO_result#AFR:0002396
http://purl.allotrope.org/ontologies/result#AFR_0002397,end point determination setting,result,AFO_result#AFR:0002397
http://purl.allotrope.org/ontologies/result#AFR_0002398,maximum run time setting,result,AFO_result#AFR:0002398
http://purl.allotrope.org/ontologies/result#AFR_0002399,change rate end point setting,result,AFO_result#AFR:0002399
http://purl.allotrope.org/ontologies/result#AFR_0002400,extrapolated weight end point setting,result,AFO_result#AFR:0002400
http://purl.allotrope.org/ontologies/result#AFR_0002401,temperature profile setting,result,AFO_result#AFR:0002401
http://purl.allotrope.org/ontologies/result#AFR_0002408,ratio quantification facet,result,AFO_result#AFR:0002408
http://purl.allotrope.org/ontologies/result#AFR_0002409,molar mass,result,AFO_result#AFR:0002409
http://purl.allotrope.org/ontologies/result#AFR_0002410,apodization,result,AFO_result#AFR:0002410
http://purl.allotrope.org/ontologies/result#AFR_0002411,zero filling factor,result,AFO_result#AFR:0002411
http://purl.allotrope.org/ontologies/result#AFR_0002412,phase correction,result,AFO_result#AFR:0002412
http://purl.allotrope.org/ontologies/result#AFR_0002413,thermal conductance,result,AFO_result#AFR:0002413
http://purl.allotrope.org/ontologies/result#AFR_0002414,profile setting,result,AFO_result#AFR:0002414
http://purl.allotrope.org/ontologies/result#AFR_0002415,control profile setting,result,AFO_result#AFR:0002415
http://purl.allotrope.org/ontologies/result#AFR_0002416,nuclear magnetic resonance spectrum data cube,result,AFO_result#AFR:0002416
http://purl.allotrope.org/ontologies/result#AFR_0002417,mass spectrometry document,result,AFO_result#AFR:0002417
http://purl.allotrope.org/ontologies/result#AFR_0002418,sample flow rate profile,result,AFO_result#AFR:0002418
http://purl.allotrope.org/ontologies/result#AFR_0002419,ADF converter name,result,AFO_result#AFR:0002419
http://purl.allotrope.org/ontologies/result#AFR_0002420,ADF converter method identifier,result,AFO_result#AFR:0002420
http://purl.allotrope.org/ontologies/result#AFR_0002421,ADF converter version,result,AFO_result#AFR:0002421
http://purl.allotrope.org/ontologies/result#AFR_0002422,start time,result,AFO_result#AFR:0002422
http://purl.allotrope.org/ontologies/result#AFR_0002423,end time,result,AFO_result#AFR:0002423
http://purl.allotrope.org/ontologies/result#AFR_0002424,tablet press identifier,result,AFO_result#AFR:0002424
http://purl.allotrope.org/ontologies/result#AFR_0002425,container identifier,result,AFO_result#AFR:0002425
http://purl.allotrope.org/ontologies/result#AFR_0002426,tablet thickness,result,AFO_result#AFR:0002426
http://purl.allotrope.org/ontologies/result#AFR_0002427,hardness,result,AFO_result#AFR:0002427
http://purl.allotrope.org/ontologies/result#AFR_0002428,data validity assessment,result,AFO_result#AFR:0002428
http://purl.allotrope.org/ontologies/result#AFR_0002429,data validity code,result,AFO_result#AFR:0002429
http://purl.allotrope.org/ontologies/result#AFR_0002432,thickness,result,AFO_result#AFR:0002432
http://purl.allotrope.org/ontologies/result#AFR_0002434,disintegration apparatus disc type,result,AFO_result#AFR:0002434
http://purl.allotrope.org/ontologies/result#AFR_0002435,disintegration apparatus basket identifier,result,AFO_result#AFR:0002435
http://purl.allotrope.org/ontologies/result#AFR_0002436,fill depth,result,AFO_result#AFR:0002436
http://purl.allotrope.org/ontologies/result#AFR_0002437,result value specification,result,AFO_result#AFR:0002437
http://purl.allotrope.org/ontologies/result#AFR_0002438,material suitability specification,result,AFO_result#AFR:0002438
http://purl.allotrope.org/ontologies/result#AFR_0002439,specification assessment,result,AFO_result#AFR:0002439
http://purl.allotrope.org/ontologies/result#AFR_0002440,minimum value,result,AFO_result#AFR:0002440
http://purl.allotrope.org/ontologies/result#AFR_0002441,maximum value,result,AFO_result#AFR:0002441
http://purl.allotrope.org/ontologies/result#AFR_0002443,relative standard deviation,result,AFO_result#AFR:0002443
http://purl.allotrope.org/ontologies/result#AFR_0002445,absolute water content,result,AFO_result#AFR:0002445
http://purl.allotrope.org/ontologies/result#AFR_0002447,water mass concentration,result,AFO_result#AFR:0002447
http://purl.allotrope.org/ontologies/result#AFR_0002448,water mass fraction,result,AFO_result#AFR:0002448
http://purl.allotrope.org/ontologies/result#AFR_0002449,data validity,result,AFO_result#AFR:0002449
http://purl.allotrope.org/ontologies/result#AFR_0002450,shaking configuration description,result,AFO_result#AFR:0002450
http://purl.allotrope.org/ontologies/result#AFR_0002451,detector distance setting (plate reader),result,AFO_result#AFR:0002451
http://purl.allotrope.org/ontologies/result#AFR_0002452,scan position setting (plate reader),result,AFO_result#AFR:0002452
