source_page,edge_type,target_url,pillar,anchor
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/applied-biosystems-7500-real-time-pcr-system.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/applied-biosystems-7500-real-time-pcr-system.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/xsq-software.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/xsq-software.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/lifescope-genomic-analysis-software.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/lifescope-genomic-analysis-software.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/lifescope-genomic-analysis-software.html,runs,http://media.invitrogen.com.edgesuite.net/downloads/instrument-software/LifeScope_examplesWorkflows.tar.gz,P3,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/StepOne-and-StepOnePlus-Real-Time-PCR-System.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/StepOne-and-StepOnePlus-Real-Time-PCR-System.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/3500-Series-Genetic-Analyzers-for-Human-Identification.html,runs,https://www.thermofisher.com/content/lifetech/europe-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/3500-Series-Genetic-Analyzers-for-Human-Identification.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-xl-core-cell-imaging-system.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-xl-core-cell-imaging-system.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-fl-auto.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-fl-auto.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-fl-cell-imaging-system.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-fl-cell-imaging-system.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-xl-cell-imaging-system.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-xl-cell-imaging-system.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/westover-fisher-scientific-private-labeled-microscopes.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/westover-fisher-scientific-private-labeled-microscopes.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-gen-1-instrument.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-gen-1-instrument.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/evos-gen-1-instrument.html,has_driver,https://www.thermofisher.com/content/dam/LifeTech/Documents/EXE/firmware.bin,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/updating-quantstudio-12k-flex-real-time-pcr-system-software-or-firmware.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
