urn,key_type,prefix,gln,mo,state,source
urn:epc:id:gtin:00000090220098,gtin,,,,candidate,WEB
urn:epc:id:gtin:05827897696001,gtin,,,,candidate,WEB
urn:epc:id:gtin:00000026400044,gtin,,,,candidate,WEB
urn:epc:id:gtin:00000067855124,gtin,,,,candidate,WEB
